medra_code,medra_name
10000149,"Abnormal heart sounds, other"
10000150,Abnormal innervation syndrome of eyelid
10000151,Abnormal involuntary movements
10000152,Abnormal labor
10000153,Abnormal labour
10000154,Abnormal labour affecting foetus
10000155,Abnormal LE test
10000156,Abnormal LFTs
10000157,Abnormal lipid profile
10000158,Abnormal liver function tests
10000159,Abnormal loss of weight
10000160,Abnormal orgasm (female)
10000161,Abnormal orgasm (male)
10000162,Abnormal palmar/plantar creases
10000163,Abnormal physical sensation
10000164,Abnormal pigment
10000165,Abnormal pigmentation
10000166,Abnormal platelet function
10000167,Abnormal platelets
10000168,Abnormal product of conception NOS
10000169,"Abnormal pupillary function, unspecified"
10000170,Abnormal reflex
10000172,Abnormal retinal correspondence
10000173,Abnormal sensation in eye
10000174,Abnormal sensation of limbs
10000175,Abnormal single palmar crease
10000177,Abnormal sleep-related event NOS
10000179,Abnormal spermatozoa
10000180,Abnormal sputum
10000181,Abnormal stools
10000182,Abnormal thinking
10000183,Abnormal thymol turbidity test
10000184,Abnormal touch sensation
10000185,Abnormal uterine contractions affecting fetus or newborn
10000186,Abnormal vision
10000187,Abnormal vision NOS
10000188,Abnormal weight gain
10000189,Abnormal words or word usage NOS
10000194,Abnormalities of size and form of teeth
10000195,Abnormalities of the hair
10000197,Abnormality of accommodation
10000198,Abnormality of forces of labor
10000199,Abnormality of forces of labour
10000200,Abnormality of gait
10000201,"Abnormality of organs and soft tissues of pelvis comp pregnancy, childbirth, or the puerp"
10000202,Abnormality of red blood cells
10000203,Abnormality of secretion of gastrin
10000204,Abnormality of secretion of glucagon
10000205,ABO haemolytic disease of newborn
10000206,ABO incompatibility
10000207,"ABO incompatibility reaction, not elsewhere classified"
10000208,ABO isoimmunization
10000209,Aborted pregnancy
10000210,Abortion
10000212,Abortion complete complicated
10000213,Abortion complete incomplete missed etc
10000214,Abortion complete NOS
10000215,Abortion complicated NOS
10000216,Abortion failed
10000217,Abortion incomplete
10000218,Abortion incomplete complicated
10000219,Abortion incomplete NOS
10000220,Abortion induced
10000221,Abortion induced complete complicated
10000222,Abortion induced complete NOS
10000223,Abortion induced complicated
10000224,Abortion induced illegally
10000225,Abortion induced incomplete complicated
10000226,Abortion induced incomplete NOS
10000227,Abortion induced NOS
10000228,Abortion infected
10000229,Abortion infective
10000230,Abortion missed
10000231,Abortion NOS
10000234,Abortion spontaneous
10000236,Abortion spontaneous complete complicated
10000237,Abortion spontaneous complete NOS
10000238,Abortion spontaneous complicated
10000239,Abortion spontaneous incomplete complicated
10000240,Abortion spontaneous incomplete NOS
10000241,Abortion spontaneous NOS
10000242,Abortion threatened
10000243,Above knee amputation
10000244,ABPA
10000245,Abrasion NOS
10000246,Abrasion of hard tooth tissue
10000247,Abrasion of teeth
10000248,"Abrasion or friction burn of elbow, forearm, and wrist, infected"
10000249,"Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection"
10000250,"Abrasion or friction burn of face, neck, and scalp except eye, infected"
10000251,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection"
10000252,"Abrasion or friction burn of fingers, infected"
10000253,"Abrasion or friction burn of fingers, without mention of infection"
10000254,"Abrasion or friction burn of foot and toe(s), infected"
10000255,"Abrasion or friction burn of foot and toe(s), without mention of infection"
10000256,"Abrasion or friction burn of hand(s) except finger(s) alone, infected"
10000257,"Abrasion or friction burn of hand(s) except finger(s) alone, without mention of infection"
10000258,"Abrasion or friction burn of hip, thigh, leg, and ankle, infected"
10000259,"Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection"
10000260,"Abrasion or friction burn of other, multiple, and unspecified sites, infected"
10000261,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection"
10000262,"Abrasion or friction burn of shoulder and upper arm, infected"
10000263,"Abrasion or friction burn of shoulder and upper arm, without mention of infection"
10000264,"Abrasion or friction burn of trunk, infected"
10000265,"Abrasion or friction burn of trunk, without mention of infection"
10000266,Abrasions
10000267,Abruptio placentae
10000268,Abscences
10000269,Abscess
10000270,Abscess anorectal
10000271,Abscess apocrine gland
10000272,Abscess bacterial
10000273,Abscess bacterial NOS
10000274,Abscess Bartholin's
10000275,Abscess breast
10000276,Abscess breast drainage
10000277,Abscess central nervous system NOS
10000278,Abscess dental
10000279,Abscess drainage
10000280,Abscess eye
10000281,Abscess genital organ (male)
10000282,Abscess gum
10000283,Abscess in nose
10000284,Abscess injection site
10000285,Abscess intestinal
10000286,Abscess kidney
10000287,Abscess NOS
10000288,Abscess of anal and rectal regions
10000289,Abscess of Bartholin's gland
10000290,Abscess of breast associated with childbirth
10000291,"Abscess of breast associated with childbirth, delivered, with mention of postpartum complication"
10000292,"Abscess of breast associated with childbirth, unspecified as to episode of care"
10000293,"Abscess of breast, antepartum"
10000294,"Abscess of breast, postpartum"
10000295,Abscess of external auditory meatus
10000296,Abscess of external ear
10000297,Abscess of eyelid
10000298,Abscess of finger
10000299,Abscess of intestine
10000300,Abscess of liver
10000301,Abscess of lung
10000302,Abscess of lung and mediastinum
10000303,Abscess of mediastinum
10000304,Abscess of prostate
10000305,Abscess of salivary gland
10000306,Abscess of thymus
10000307,Abscess of toe
10000308,"Abscess of vulva, other"
10000309,Abscess on buttock
10000310,Abscess operations
10000311,Abscess oral
10000312,Abscess paradontal
10000313,Abscess perinephric
10000314,Abscess periodontal
10000315,Abscess peritonsillar
10000316,Abscess pilonidal
10000317,Abscess sterile
10000318,Abscess sweat gland
10000320,Abscesses of skin
10000321,Absence attacks
10000322,Absence congenital
10000323,Absence of cranial vault congenital
10000324,"Absence of ear lobe, congenital"
10000325,Absence of limbs
10000326,Absence of menstruation
10000327,"Absence of muscle and tendon, congenital"
10000328,"Absence of salivary gland, congenital"
10000329,"Absence of vertebra, congenital"
10000330,Absence or hypoplasia of umbilical artery
10000331,Absence seizure
10000333,Absent ankle jerk
10000334,Absent ankle jerks
10000335,Absent bowel sounds
10000336,Absent limb
10000337,Absent limbs
10000338,Absent reflex
10000339,Absent reflexes
10000340,Abstains from alcohol
10000341,Abuse
10000342,Abuse NOS
10000343,Abuse with addiction
10000344,Academic underachievement
10000345,Academic underachievement disorder of childhood or adolescence
10000346,Acalculia
10000347,Acalculous cholecystitis
10000348,Acanthamoeba infection NOS
10000349,Acanthosis
10000350,Acanthosis nigricans
10000351,Acariasis
10000352,Acariasis NOS
10000353,"Acariasis, other"
10000354,"Acariasis, unspecified"
10000355,Acathesia
10000357,Accelerated hair loss
10000358,Accelerated hypertension
10000359,Accelerated sexual maturation
10000360,Accelerated sexual maturity
10000361,Accessory auricle
10000362,Accessory carpal bone
10000363,Accessory carpal bones
10000364,Accessory muscle
10000365,Accessory nerve disorder NOS
10000367,Accessory nipple removal
10000368,Accessory salivary gland
10000369,Accident
10000370,Accident at home
10000371,Accident at school
10000372,Accident at work
10000373,Accident automobile
10000374,Accident cerebrovascular
10000375,Accident household
10000376,Accident in street
10000377,Accident NOS
10000378,Accidental exposure
10000379,Accidental ingestion
10000380,Accidental injury
10000381,Accidental overdose
10000382,Accidental overdose (therapeutic agent)
10000383,Accidental poisoning
10000384,"Accidental puncture or laceration during a procedure, not elsewhere classified"
10000385,Accommodation abnormal
10000386,Accommodation dark disorder
10000387,Accommodation debility
10000388,Accommodation difficulty
10000389,Accommodation disorder
10000390,Accommodation disturbance
10000391,Accommodation paralysis
10000392,Accommodation spasm
10000393,Accommodative component in esotropia
10000394,Accomplished suicide
10000395,Accretions on teeth
10000396,Acetabular dysplasia
10000397,Acetabulum fracture
10000398,Acetaminophen
10000399,Acetaminophen decreased
10000400,Acetaminophen high
10000401,Acetaminophen increased
10000402,Acetaminophen normal
10000403,Acetoacetate
10000404,Acetoacetate abnormal NOS
10000405,Acetoacetate decreased
10000406,Acetoacetate high
10000407,Acetoacetate increased
10000408,Acetoacetate low
10000409,Acetoacetate normal
10000410,Acetonaemia
10000411,Acetone
10000412,Acetone abnormal NOS
10000413,Acetone breath
10000414,Acetone decreased
10000415,Acetone high
10000416,Acetone increased
10000417,Acetone normal
10000418,Acetonemia
10000419,Acetonuria
10000420,Achalasia
10000421,Achalasia and cardiospasm
10000422,Achalasia cardiae
10000423,Achalasia esophageal
10000424,Ache
10000425,Ache across chest
10000426,Ache breast
10000427,Ache in testis
10000428,Ache NOS
10000429,Ache stomach
10000430,Ache wrists
10000431,Aches & pains in legs
10000432,Achilles bursitis or tendinitis
10000433,Achilles tendinitis
10000434,Achilles tendon elongation
10000435,Achilles tendon injury
10000436,Achilles tendon reflex decreased
10000437,Achilles tendon reflex exaggerated
10000438,Achilles tendon repair
10000439,Achilles tendon rupture
10000440,Achilles tendon sprain
10000441,Achilles tendonitis
10000442,Achilles tenosynovitis
10000443,Achillobursitis
10000444,Aching (l) knee
10000445,Aching (r) knee
10000446,Aching eye socket
10000447,Aching in knees
10000448,Aching in limb
10000449,Aching joints
10000450,"Aching pain in hands, forearms, elbows"
10000451,Achlorhydria
10000452,Achondroplasia
10000453,Achondroplastic dwarf
10000454,Achromatopsia
10000455,Achylia gastrica
10000456,Acid base balance
10000457,Acid base balance abnormal
10000458,Acid base balance normal
10000459,Acid chemical burn of cornea and conjunctival sac
10000460,Acid dyspepsia
10000461,Acid fast stain
10000462,Acid fast stain negative
10000463,Acid fast stain positive
10000464,Acid indigestion
10000465,Acid or alkali poisoning
10000466,Acid phos
10000467,Acid phosphatase
10000468,Acid phosphatase abnormal
10000469,Acid phosphatase decreased
10000470,Acid phosphatase high
10000471,Acid phosphatase increased
10000472,Acid phosphatase low
10000473,Acid phosphatase normal
10000474,Acid phosphatase prostatic high
10000475,Acid phosphatase prostatic increased
10000476,Acid phosphatase prostatic low
10000477,Acid phosphatase serum incr
10000478,Acid phosphatase serum increased
10000479,Acid reflux (oesophageal)
10000480,Acid-base balance
10000481,Acid-base balance abnoraml
10000482,Acid-base balance disorder
10000483,Acid-base balance disorder mixed
10000484,Acid-base balance normal
10000486,Acidosis
10000487,Acidosis compensatory
10000488,Acidosis diabetic
10000489,Acidosis hyperchloraemic
10000490,Acidosis hyperchloremic
10000491,Acidosis lactic
10000492,Acidosis metabolic
10000493,Acidosis NOS
10000494,Acidosis renal tubular
10000495,Acidosis respiratory
10000496,Acne
10000498,Acne aggravated
10000499,Acne bromata
10000500,Acne comedonal
10000501,Acne conglobata
10000502,Acne cosmetica
10000503,Acne cystic
10000504,Acne detergicans
10000505,Acne follicular
10000506,Acne follicular papular pustular etc
10000507,Acne infantile
10000508,Acne medicamentosa
10000509,Acne neonatorum
10000510,Acne NOS
10000511,Acne occupational
10000512,Acne papular
10000513,Acne pustular
10000514,Acne rosacea
10000515,Acne scars
10000516,Acne steroid
10000517,Acne steroid-induced
10000518,Acne varioliformis
10000519,Acne vulgaris
10000520,Acneiform dermatitis
10000521,Acoustic nerve disorder NOS
10000522,Acoustic neurinoma
10000523,Acoustic neuroma
10000524,Acoustic neuroma removal
10000525,Acoustic stimulation tests
10000526,Acoustic stimulation tests abnormal
10000527,Acoustic stimulation tests normal
10000528,Acoustic trauma
10000529,Acoustic trauma (explosive) to ear
10000530,Acquired acanthosis nigricans
10000531,Acquired afibrinogenaemia
10000532,Acquired atrophy of ovary and fallopian tube
10000533,Acquired cardiac septal defect
10000534,Acquired coagulation factor deficiency
10000535,Acquired color vision deficiencies
10000536,Acquired deformities of auricle or pinna
10000537,"Acquired deformities of forearm, excluding fingers"
10000538,Acquired deformities of hip
10000539,Acquired deformities of other parts of limbs
10000540,Acquired deformities of toe
10000541,Acquired deformity of chest and rib
10000542,"Acquired deformity of limb, site unspecified"
10000543,Acquired deformity of neck
10000544,Acquired deformity of nose
10000545,Acquired deformity of pelvis
10000547,Acquired equinovarus deformity
10000548,Acquired haemangioma
10000549,Acquired haemolytic anaemia
10000550,"Acquired haemolytic anaemia, unspecified"
10000551,Acquired haemolytic anaemias
10000552,Acquired hemangioma
10000553,"Acquired hemolytic anemia, unspecified"
10000554,Acquired hemolytic anemias
10000555,Acquired hydrocele
10000556,Acquired hypertrophic pyloric stenosis
10000557,Acquired hypogammaglobulinaemia
10000558,Acquired hypogammaglobulinemia
10000559,Acquired hypothyroidism
10000560,Acquired hypothyroidism other
10000561,Acquired ichthyosis
10000562,Acquired immune deficiency syndr
10000563,Acquired immune deficiency syndrome
10000564,Acquired immuno deficiency syndrome
10000565,Acquired immunodeficiency syndrome
10000566,"Acquired immunodeficiency syndrome, unspecified"
10000567,"Acquired immunodeficiency syndrome-related complex, unspecified"
10000568,Acquired keratoderma
10000569,Acquired megacolon
10000570,Acquired methaemoglobinaemia
10000571,Acquired musculoskeletal deformity of other specified site
10000572,Acquired musculoskeletal deformity of unspecified site
10000573,Acquired night blindness
10000574,Acquired sideroblastic anaemia
10000575,Acquired spondylolisthesis
10000576,Acquired stenosis of external ear canal
10000577,Acquired stenosis of external ear canal secondary to inflammation
10000578,Acquired stenosis of external ear canal secondary to surgery
10000579,Acquired stenosis of external ear canal secondary to trauma
10000580,"Acquired stenosis of external ear canal, unspecified as to cause"
10000581,Acquired thrombasthenia
10000582,Acquired tracheo-oesophageal fistula
10000583,Acral lentiginous melanoma
10000584,Acral lentiginous melanoma in situ
10000585,Acral lentiginous melanoma stage I
10000586,Acral lentiginous melanoma stage II
10000587,Acral lentiginous melanoma stage III
10000588,Acral lentiginous melanoma stage IV
10000589,Acral lentiginous melanoma stage unspecified
10000590,Acrocephalosyndactyly
10000591,Acrochordon
10000592,Acrocyanosis
10000593,Acrodermatitis
10000594,Acrodermatitis chronica atrophicans
10000595,Acrodermatitis continua
10000596,Acrodermatitis enteropathica
10000597,Acrodermatitis enterpatica
10000598,Acrodynia
10000599,Acromegaly
10000600,Acromegaly and gigantism
10000601,Acromioclavicular (joint) (ligament) sprain
10000602,Acromioclavicular (joint) (ligament) sprains and strains
10000603,Acroosteolysis
10000604,Acroparaesthesia
10000605,Acrophobia
10000606,Acrosclerosis
10000607,ACTH
10000608,ACTH abnormal
10000609,ACTH dec
10000610,ACTH decreased
10000611,ACTH increased
10000612,ACTH normal
10000613,ACTH-producing pituitary tumour
10000614,Actinic keratosis
10000615,Actinic lentigo
10000616,Actinic prurigo
10000617,Actinic reticuloid and actinic granuloma
10000618,Actinic reticuloid-photosensitive eczema
10000619,Actinomycetomas
10000620,Actinomycosis
10000621,Actinomycotic abdominal infection
10000622,Actinomycotic granuloma
10000623,Actinomycotic infection of other specified sites
10000624,Actinomycotic infection of unspecified site
10000625,"Actinomycotic infection, cutaneous"
10000626,Actinomycotic infections
10000628,Actinomycotic pulmonary infection
10000629,Actinomycotic skin infection
10000630,Activated partial thromboplastin time
10000631,Activated partial thromboplastin time abnormal
10000632,Activated partial thromboplastin time abnormal NOS
10000633,Activated partial thromboplastin time decreased
10000634,Activated partial thromboplastin time increased
10000635,Activated partial thromboplastin time normal
10000636,Activated partial thromboplastin time prolonged
10000637,Activated partial thromboplastin time shortened
10000638,Active ileal inflammation
10000639,Active immunisation
10000640,"Active Meniere's disease, cochlear"
10000641,"Active Meniere's disease, cochleovestibular"
10000642,"Active Meniere's disease, vestibular"
10000643,Active rickets
10000644,Activity motor exaggerated
10000645,Activity motor retarded
10000646,Acupuncture
10000647,Acute abdomen
10000648,Acute acalculous cholecystitis
10000649,Acute alcoholic hepatitis
10000650,Acute alcoholic intoxication
10000651,"Acute alcoholic intoxication in alcoholism, continuous drinking behavior"
10000652,"Acute alcoholic intoxication in alcoholism, episodic drinking behavior"
10000653,"Acute alcoholic intoxication in alcoholism, in remission"
10000654,"Acute alcoholic intoxication in alcoholism, unspecified drinking behavior"
10000655,Acute allergic mucoid otitis media
10000656,Acute allergic reaction
10000657,Acute allergic sanguinous otitis media
10000658,Acute allergic serous otitis media
10000659,Acute allergic urticaria
10000660,Acute amebic dysentery without mention of abscess
10000661,Acute amoebic dysentery without mention of abscess
10000662,Acute anaphyl
10000663,Acute anaphylactic reaction
10000664,Acute anaphylaxis
10000665,Acute and subacute bacterial endocarditis
10000666,Acute and subacute endocarditis
10000667,Acute and subacute infective endocarditis in diseases classified elsewhere
10000668,Acute and subacute iridocyclitis
10000669,"Acute and subacute iridocyclitis, unspecified"
10000670,Acute and subacute necrosis of liver
10000671,Acute and unspecified inflammation of lacrimal passages
10000672,Acute angio oedema
10000673,Acute angle closure glaucoma
10000674,Acute angle-closure glaucoma
10000675,Acute anterior poliomyelitis
10000676,Acute apical periodontitis of pulpal origin
10000677,Acute appendicitis
10000678,Acute appendicitis with generalized peritonitis
10000679,Acute appendicitis with peritoneal abscess
10000680,Acute appendicitis without mention of peritonitis
10000681,Acute atopic conjunctivitis
10000682,Acute back injury
10000683,Acute back pain
10000684,Acute bacterial anorectal infection
10000685,Acute brain syndrome
10000686,Acute bronchiolitis
10000687,Acute bronchitis
10000688,Acute bronchitis and bronchiolitis
10000689,"Acute canaliculitis, lacrimal"
10000690,Acute cervical pain
10000691,Acute cholecystitis
10000692,Acute circulatory failure
10000693,Acute confusion state
10000694,Acute confusional state
10000695,Acute conjunctivitis
10000696,"Acute conjunctivitis, unspecified"
10000697,Acute cor pulmonale
10000698,Acute cystitis
10000699,Acute cystitis (excl in pregnancy)
10000700,Acute dacryoadenitis
10000701,Acute dacryocystitis
10000702,Acute delirium
10000703,Acute delusional psychoses
10000704,Acute derangement of liver function
10000705,Acute dermatitis due to solar radiation
10000706,Acute diarrhea
10000707,Acute diffuse glomerulonephritis
10000708,Acute dilatation of stomach
10000709,Acute disseminated encephalomyelitis
10000710,Acute diverticular perforation
10000711,Acute duodenal ulcer
10000712,Acute duodenal ulcer with haemorrhage
10000713,Acute duodenal ulcer with haemorrhage and perforation
10000714,Acute duodenal ulcer with hemorrhage
10000715,Acute duodenal ulcer with hemorrhage and perforation
10000716,"Acute duodenal ulcer with hemorrhage and perforation, with obstruction"
10000717,"Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction"
10000718,"Acute duodenal ulcer with hemorrhage, with obstruction"
10000719,"Acute duodenal ulcer with hemorrhage, without mention of obstruction"
10000720,Acute duodenal ulcer with perforation
10000721,"Acute duodenal ulcer with perforation, with obstruction"
10000722,"Acute duodenal ulcer with perforation, without mention of obstruction"
10000723,Acute duodenal ulcer without mention of haemorrhage or perforation
10000724,Acute duodenal ulcer without mention of hemorrhage or perforation
10000725,"Acute duodenal ulcer without mention of hemorrhage or perforation, with obstruction"
10000726,"Acute duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction"
10000727,Acute dyskinesia
10000728,"Acute edema of lung, unspecified"
10000729,"Acute endocarditis, unspecified"
10000730,Acute endophthalmitis
10000731,Acute epididymo-orchitis
10000732,Acute epiglottitis
10000733,Acute epiglottitis with obstruction
10000734,Acute epiglottitis without mention of obstruction
10000735,Acute erythraemia and erythroleukaemia
10000736,Acute erythremia and erythroleukemia
10000737,Acute erythremia and erythroleukemia in remission
10000738,Acute erythremia and erythroleukemia without mention of remission
10000739,Acute erythroid leukaemia
10000740,Acute erythroid leukemia
10000741,Acute ethmoidal sinusitis
10000742,Acute Eustachian salpingitis
10000743,Acute exacerbation of chronic bronchitis
10000744,Acute exacerbation of chronic bronchitis NOS
10000745,Acute fatty liver
10000746,Acute fatty liver of pregnancy
10000747,Acute febrile mucocutaneous lymph node syndrome (MCLS)
10000748,Acute febrile neutrophilic dermatosis
10000749,Acute follicular conjunctivitis
10000750,Acute frontal sinusitis
10000751,Acute fulminant hepatitis
10000752,Acute gastric erosions
10000753,Acute gastric mucosal lesion
10000754,Acute gastric ulcer with haemorrhage
10000755,Acute gastric ulcer with haemorrhage and perforation
10000756,Acute gastric ulcer with hemorrhage
10000757,Acute gastric ulcer with hemorrhage and perforation
10000758,"Acute gastric ulcer with hemorrhage and perforation,with obstruction"
10000759,"Acute gastric ulcer with hemorrhage and perforation,without mention of obstruction"
10000760,"Acute gastric ulcer with hemorrhage, with obstruction"
10000761,"Acute gastric ulcer with hemorrhage, without mention of obstruction"
10000762,Acute gastric ulcer with perforation
10000763,"Acute gastric ulcer with perforation, with obstruction"
10000764,"Acute gastric ulcer with perforation, without mention of obstruction"
10000765,Acute gastric ulcer without mention of haemorrhage or perforation
10000766,Acute gastric ulcer without mention of hemorrhage or perforation
10000767,"Acute gastric ulcer without mention of hemorrhage or perforation, with obstruction"
10000768,"Acute gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
10000769,Acute gastritis
10000770,"Acute gastritis, with hemorrhage"
10000771,"Acute gastritis, without mention of hemorrhage"
10000772,"Acute gastrojejunal ulcer w/o mention of hem or perf, w/o ment of obstruction"
10000773,Acute gastrojejunal ulcer with haemorrhage
10000774,Acute gastrojejunal ulcer with haemorrhage and perforation
10000775,Acute gastrojejunal ulcer with hemorrhage
10000776,Acute gastrojejunal ulcer with hemorrhage and perforation
10000777,"Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction"
10000778,"Acute gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction"
10000779,"Acute gastrojejunal ulcer with hemorrhage, without mention of obstruction"
10000780,Acute gastrojejunal ulcer with perforation
10000781,"Acute gastrojejunal ulcer with perforation, with obstruction"
10000782,"Acute gastrojejunal ulcer with perforation, without mention of obstruction"
10000783,Acute gastrojejunal ulcer without mention of haemorrhage or perforation
10000784,Acute gastrojejunal ulcer without mention of hemorrhage or perforation
10000785,"Acute gastrojejunal ulcer without mention of hemorrhage or perforation, with obstruction"
10000786,"Acute gastrojejunal ulcer, with hemorrhage, with obstruction"
10000787,Acute gingivitis
10000788,Acute glomerulonephritis
10000789,Acute glomerulonephritis in diseases classified elsewhere
10000790,Acute glomerulonephritis with lesion of proliferative glomerulonephritis
10000791,Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis
10000792,Acute glomerulonephritis with other pathological lesion in kidney
10000793,Acute glomerulonephritis with other specified pathological lesion in kidney
10000794,Acute glomerulonephritis with unspecified pathological lesion in kidney
10000795,Acute gonococcal cervicitis
10000796,Acute gonococcal endometritis
10000797,Acute gonococcal infection of lower genitourinary tract
10000798,"Acute gonococcal infection, of upper genitourinary tract"
10000799,Acute gonococcal salpingitis
10000800,Acute gonococcal urethritis
10000801,Acute granulocytic leukaemia
10000802,Acute GVH disease
10000803,Acute heart failure
10000804,Acute hepatic failure
10000805,Acute hepatitis A
10000806,Acute histoplasmosis
10000807,Acute HIV infection
10000808,Acute human immunodeficiency virus type I infection
10000809,Acute idiopathic pericarditis
10000810,Acute infection of pinna
10000811,Acute infection with HIV
10000812,Acute infective pericarditis
10000813,Acute infective polyneuritis
10000814,Acute inflammation of orbit
10000815,"Acute inflammation of orbit, unspecified"
10000816,Acute inflammation of the inner ear
10000817,"Acute inflammatory diseases of uterus, except cervix"
10000818,Acute intermittent porphyria
10000819,Acute interstitial nephritis
10000820,Acute ischemic colitis
10000821,Acute kidney failure
10000822,Acute kidney infection
10000823,Acute laryngitis
10000824,Acute laryngitis & tracheitis
10000825,Acute laryngitis and tracheitis
10000826,Acute laryngopharyngitis
10000827,Acute laryngotracheitis
10000828,Acute laryngotracheitis with obstruction
